strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
DEBTRATIO_0_0.35__EPS_<0__C3_ROE_SEQ_yoy__v1,DEBTRATIO_0_0.35,EPS_<0,C3_ROE_SEQ_yoy,v1,0.05818610321629225,166.6,-0.12052761337632134,0.6666666666666666,0.0
ROE_5_10__EPS_<0__C4_REVENUE_GROWTH_qmax5__v0,ROE_5_10,EPS_<0,C4_REVENUE_GROWTH_qmax5,v0,0.05803675825559562,50.36,-0.40699482883485105,0.5909090909090909,0.0
DEBTRATIO_0_0.35__EPS_0_2__C3_ROE_SEQ_yoy__v1,DEBTRATIO_0_0.35,EPS_0_2,C3_ROE_SEQ_yoy,v1,0.0579051563492301,69.56,-0.42335709772700947,0.5048076923076923,-0.20025890225358334
EPS_>=2__None__C5_REVENUE_GROWTH_yoy__v1,EPS_>=2,None,C5_REVENUE_GROWTH_yoy,v1,0.0576152934261529,93.85,-0.41866278584800876,0.5673076923076923,0.06286536375225937
DEBTRATIO_0.35_0.55__EPS_>=2__C5_REVENUE_GROWTH_yoy__v1,DEBTRATIO_0.35_0.55,EPS_>=2,C5_REVENUE_GROWTH_yoy,v1,0.057346822037934064,124.49,-0.16405031201248055,0.5517241379310345,0.12935421038306139
ROE_10_15__EPS_>=2__C4_REVENUE_GROWTH_qmax5__v1,ROE_10_15,EPS_>=2,C4_REVENUE_GROWTH_qmax5,v1,0.0571511164555063,72.41,-0.5103374164645409,0.5119047619047619,-0.0025085733318761516
EPS_>=2__ROE_10_15__None__v1,EPS_>=2,ROE_10_15,None,v1,0.05695045721535408,68.08,-0.5103374164645403,0.524390243902439,-0.017982647375382688
ROE_15_20__None__C3_ROE_SEQ_yoy__v1,ROE_15_20,None,C3_ROE_SEQ_yoy,v1,0.056941374687280444,66.5,-0.24933629981589944,0.5555555555555556,-0.08661822634866723
ROE_5_10__DEBTRATIO_0.35_0.55__C8_FCF_MOM_riseq2__v1,ROE_5_10,DEBTRATIO_0.35_0.55,C8_FCF_MOM_riseq2,v1,0.05645965025223676,129.06,-0.16081121984145896,0.75,0.028223843330522858
FCF_P_<0__DEBTRATIO_0_0.35__C6_EPS_QOQ_yoy__v0,FCF_P_<0,DEBTRATIO_0_0.35,C6_EPS_QOQ_yoy,v0,0.056444661384100536,74.1,-0.4751216947614002,0.4811320754716981,-0.09825463627202669
ROE_<5__None__C3_ROE_SEQ_yoy__v0,ROE_<5,None,C3_ROE_SEQ_yoy,v0,0.05609233227032173,89.95,-0.41940445363826706,0.5792227204783259,-0.019224132685045747
