strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
REVENUE_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.4639446902114024,0.31523671988063273,0.14870797033076966,-0.5189231822569431,0.515527950310559,8.35,37.876288659793815
EPS_qb0of3__ACCRUAL_qb0of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__ACCRUAL_qb0of3,C12_EPS_DYN_yoy,0.4638493985358232,0.3282891840419029,0.1355602144939203,-0.4920990631483413,0.505008347245409,9.91,101.11666666666666
VOL_qb2of3__PB_qb0of3__C10_EPS_DYN_qmax4__v0,VOL_qb2of3__PB_qb0of3,C10_EPS_DYN_qmax4,0.4619179586096671,0.3829958502301678,0.07892210837949931,-0.5890163539246371,0.5617521800851755,8.4,59.50328947368421
REVENUE_qb0of3__EV_S_qb0of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C16_FCF_P_DYN_riseq2,0.45971168437955545,0.4025223578951269,0.05718932648442854,-0.5392794122027174,0.5672428948139466,9.36,57.17857142857143
EPS_qb0of3__ROE_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb0of3__ROE_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.45863235118307766,0.4057823182103599,0.05285003297271773,-0.4607547008674715,0.5390355912743973,7.99,34.82333333333333
P_IC_qb0of3__VOL_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,P_IC_qb0of3__VOL_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.45846366318988085,0.35477644819001686,0.103687214999864,-0.6508009845331555,0.577623590633131,8.57,78.97
REVENUE_qb0of3__EV_S_qb0of3__C8_EPS_DYN_riseq1__v0,REVENUE_qb0of3__EV_S_qb0of3,C8_EPS_DYN_riseq1,0.45786883802058953,0.4025223578951269,0.055346480125462616,-0.5368907648104875,0.5674212598425197,7.77,60.348387096774196
REVENUE_qb0of3__ACCRUAL_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.4573007527717534,0.37528684649749056,0.08201390627426286,-0.4195134387421925,0.5128380691543992,10.16,94.66333333333333
REVENUE_qb0of3__EV_S_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__EV_S_qb0of3,C10_EPS_DYN_qmax4,0.4569403558291085,0.4025223578951269,0.05441799793398161,-0.4860613598346828,0.5823216995447648,8.12,37.44918032786885
P_IC_qb0of3__VOL_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__VOL_qb2of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.45663424114342144,0.35477644819001686,0.10185779295340458,-0.6674337917656903,0.5783783783783784,8.94,80.54333333333334
