market,company_symbol,sector_name,industry_name,type
US,RENT,Consumer Cyclical,Apparel Retail,
US,REPL,Healthcare,Biotechnology,
US,REPX,Energy,Oil & Gas E&P,
US,RES,Energy,Oil & Gas Equipment & Services,
US,REX,Basic Materials,Chemicals,
US,REXR,Real Estate,REIT - Industrial,
US,REYN,Consumer Cyclical,Packaging & Containers,
US,REZI,Industrials,Industrial Distribution,
US,RF,Financial Services,Banks - Regional,
US,RFIL,Industrials,Electrical Equipment & Parts,
US,RGA,Financial Services,Insurance - Reinsurance,
US,RGCO,Utilities,Utilities - Regulated Gas,
US,RGEN,Healthcare,Medical Instruments & Supplies,
US,RGLD,Basic Materials,Gold,
US,RGNX,Healthcare,Biotechnology,
US,RGR,Industrials,Aerospace & Defense,
US,RGTI,Technology,Computer Hardware,
US,RH,Consumer Cyclical,Specialty Retail,
US,RHI,Industrials,Staffing & Employment Services,
US,RHLD,Industrials,Specialty Business Services,
US,RHP,Real Estate,REIT - Hotel & Motel,
US,RICK,Consumer Cyclical,Restaurants,
US,RIG,Energy,Oil & Gas Drilling,
US,RIGL,Healthcare,Biotechnology,
US,RILY,Financial Services,Financial Conglomerates,
US,RIOT,Financial Services,Capital Markets,
US,RITM,Real Estate,REIT - Mortgage,
US,RIVN,Consumer Cyclical,Auto Manufacturers,
US,RJET,Industrials,Airlines,
US,RJF,Financial Services,Asset Management,
US,RKLB,Industrials,Aerospace & Defense,
US,RKT,Financial Services,Mortgage Finance,
US,RL,Consumer Cyclical,Apparel Manufacturing,
US,RLAY,Healthcare,Biotechnology,
US,RLGT,Industrials,Integrated Freight & Logistics,
US,RLI,Financial Services,Insurance - Property & Casualty,
US,RLJ,Real Estate,REIT - Hotel & Motel,
US,RLMD,Healthcare,Biotechnology,
US,RM,Financial Services,Credit Services,
US,RMAX,Real Estate,Real Estate Services,
US,RMBI,Financial Services,Banks - Regional,
US,RMBS,Technology,Semiconductors,
US,RMD,Healthcare,Medical Instruments & Supplies,
US,RMNI,Technology,Software - Application,
US,RMR,Real Estate,Real Estate Services,
US,RNA,Healthcare,Biotechnology,
US,RNAC,Healthcare,Biotechnology,
US,RNG,Technology,Software - Application,
US,RNGR,Energy,Oil & Gas Equipment & Services,
US,RNR,Financial Services,Insurance - Reinsurance,
US,RNST,Financial Services,Banks - Regional,
US,ROAD,Industrials,Engineering & Construction,
US,ROCK,Industrials,Building Products & Equipment,
US,ROG,Technology,Electronic Components,
US,ROIV,Healthcare,Biotechnology,
US,ROK,Industrials,Specialty Industrial Machinery,
US,ROKU,Communication Services,Entertainment,
US,ROL,Consumer Cyclical,Personal Services,
US,ROOT,Financial Services,Insurance - Property & Casualty,
US,ROP,Technology,Software - Application,
US,ROST,Consumer Cyclical,Apparel Retail,
US,RPAY,Technology,Software - Infrastructure,
US,RPC,Financial Services,Asset Management,
US,RPD,Technology,Software - Infrastructure,
US,RPM,Basic Materials,Specialty Chemicals,
US,RPRX,Healthcare,Biotechnology,
US,RR,Industrials,Specialty Industrial Machinery,
US,RRBI,Financial Services,Banks - Regional,
US,RRC,Energy,Oil & Gas E&P,
US,RRR,Consumer Cyclical,Resorts & Casinos,
US,RRX,Industrials,Specialty Industrial Machinery,
US,RS,Basic Materials,Steel,
US,RSG,Industrials,Waste Management,
US,RSI,Consumer Cyclical,Gambling,
US,RSVR,Communication Services,Entertainment,
US,RTX,Industrials,Aerospace & Defense,
US,RUM,Communication Services,Internet Content & Information,
US,RUN,Technology,Solar,
US,RUSHA,Consumer Cyclical,Auto & Truck Dealerships,
US,RUSHB,Consumer Cyclical,Auto & Truck Dealerships,
US,RVLV,Consumer Cyclical,Internet Retail,
US,RVMD,Healthcare,Biotechnology,
US,RVTY,Healthcare,Diagnostics & Research,
US,RWT,Real Estate,REIT - Mortgage,
US,RXO,Industrials,Trucking,
US,RXRX,Healthcare,Biotechnology,
US,RXST,Healthcare,Medical Devices,
US,RXT,Technology,Software - Infrastructure,
US,RYAM,Basic Materials,Chemicals,
US,RYAN,Financial Services,Insurance Brokers,
US,RYN,Real Estate,REIT - Specialty,
US,RYTM,Healthcare,Biotechnology,
US,RYZ,Industrials,Metal Fabrication,
US,RZLT,Healthcare,Biotechnology,
US,S,Technology,Software - Infrastructure,
US,SABR,Technology,Software - Infrastructure,
US,SABS,Healthcare,Biotechnology,
US,SAFE,Real Estate,REIT - Diversified,
US,SAFT,Financial Services,Insurance - Property & Casualty,
US,SAH,Consumer Cyclical,Auto & Truck Dealerships,
US,SAIA,Industrials,Trucking,
US,SAIC,Technology,Information Technology Services,
US,SAIL,Technology,Software - Infrastructure,
US,SAM,Consumer Defensive,Beverages - Brewers,
US,SAMG,Financial Services,Asset Management,
US,SANA,Healthcare,Biotechnology,
US,SANM,Technology,Electronic Components,
US,SARO,Industrials,Aerospace & Defense,
US,SATL,Industrials,Aerospace & Defense,
US,SB,Industrials,Marine Shipping,
US,SBAC,Real Estate,REIT - Specialty,
US,SBC,Industrials,Consulting Services,
US,SBCF,Financial Services,Banks - Regional,
US,SBET,Financial Services,Capital Markets,
US,SBGI,Communication Services,Broadcasting,
US,SBH,Consumer Cyclical,Specialty Retail,
US,SBRA,Real Estate,REIT - Healthcare Facilities,
US,SBSI,Financial Services,Banks - Regional,
US,SBUX,Consumer Cyclical,Restaurants,
US,SCCO,Basic Materials,Copper,
US,SCHL,Communication Services,Publishing,
US,SCHW,Financial Services,Capital Markets,
US,SCI,Consumer Cyclical,Personal Services,
