strategy_uid,market,F1_factor,CAGR,max_drawdown,calmar,selects_tsmc
TW::MOM_qb2of3__NETDEBT_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.243349321924235,-0.7178451916767936,0.3389997240990114,False
TW::MOM_qb2of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v0,TW,MOM,0.2432448848971138,-0.5755381734317485,0.42263901184299035,False
TW::PS_qb0of3__EV_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2431969810608196,-0.4887178599771169,0.49762245454300924,False
TW::PS_qb0of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v0,TW,PS,0.2431137345364942,-0.4383749451535679,0.5545794467138824,False
TW::P_IC_qb1of3__REV_G_qb1of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2429915956526622,-0.4820871764963133,0.5040407783062457,False
TW::P_IC_qb1of3__None__C11_EPS_DYN_qmax8__v1,TW,P_IC,0.242793662660198,-0.429126252799864,0.5657860852746107,False
TW::PS_qb0of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v1,TW,PS,0.2425378022788018,-0.3936190879753619,0.6161738840622057,False
TW::PS_qb0of3__REVENUE_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,PS,0.2423855535166938,-0.4709752289299102,0.5146460761161714,False
TW::P_IC_qb0of3__ROE_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2423489730728234,-0.4391640013806928,0.5518416179625372,False
TW::PS_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2419496654520572,-0.5444691715548295,0.44437716236738706,False
