strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
MOM_qb2of3__DEBTRATIO_qb1of3__C12_EPS_DYN_yoy__v0,MOM_qb2of3__DEBTRATIO_qb1of3,C12_EPS_DYN_yoy,0.17366274300098006,-0.6255650982681641,0.4857045026536552,96.444,v0
P_IC_qb1of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb1of3__ROIC_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.1736478278526794,-0.4513188459590215,0.49168207024029575,78.0,v0
MOM_qb2of3__DEBTRATIO_qb1of3__C12_EPS_DYN_yoy__v1,MOM_qb2of3__DEBTRATIO_qb1of3,C12_EPS_DYN_yoy,0.1736359786776922,-0.5900921920426968,0.5117219078415521,15.984,v1
EV_S_qb0of3__ROE_qb2of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__ROE_qb2of3,C3_ROE_DYN_qmax4,0.17362125709240717,-0.4313492012702065,0.5005476451259584,68.73282442748092,v0
PB_qb0of3__FCF_P_qb1of3__C16_FCF_P_DYN_riseq2__v0,PB_qb0of3__FCF_P_qb1of3,C16_FCF_P_DYN_riseq2,0.17361556906085318,-0.6000752756205199,0.49445843828715363,54.28832116788321,v0
MOM_qb2of3__FCF_P_qb0of3__C10_EPS_DYN_qmax4__v0,MOM_qb2of3__FCF_P_qb0of3,C10_EPS_DYN_qmax4,0.17360819917960457,-0.6627039374862633,0.49103035878564855,58.12213740458015,v0
PB_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,PB_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,0.17356687081160338,-0.5804740200728304,0.5173969072164949,128.52919708029196,v0
PB_qb1of3__ROE_qb2of3__None__v0,PB_qb1of3__ROE_qb2of3,None,0.1735666691404827,-0.5137553728706667,0.5156523120928015,128.74074074074073,v0
MOM_qb2of3__REV_G_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,MOM_qb2of3__REV_G_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17354956929300092,-0.5093492138439175,0.48073792729245796,21.389705882352942,v1
EV_S_qb0of3__VOL_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EV_S_qb0of3__VOL_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17351587221504516,-0.5356168149141121,0.47762895411798234,66.8529411764706,v0
MOM_qb2of3__CROIC_qb0of3__C10_EPS_DYN_qmax4__v0,MOM_qb2of3__CROIC_qb0of3,C10_EPS_DYN_qmax4,0.1734953100195371,-0.6422270779444403,0.4896177442189712,56.44656488549618,v0
P_IC_qb0of3__EV_S_qb0of3__C16_FCF_P_DYN_riseq2__v0,P_IC_qb0of3__EV_S_qb0of3,C16_FCF_P_DYN_riseq2,0.17348264339666897,-0.5589293823480648,0.5114795918367347,113.32481751824818,v0
MOM_qb2of3__FCF_P_qb0of3__C2_ROE_DYN_riseq2__v0,MOM_qb2of3__FCF_P_qb0of3,C2_ROE_DYN_riseq2,0.1734622009804545,-0.6825229099046324,0.4871834228702993,84.22992700729927,v0
MOM_qb2of3__None__C7_ROE_DYN_ytdavg_gt_lyavg__v0,MOM_qb2of3__None,C7_ROE_DYN_ytdavg_gt_lyavg,0.1734441012607606,-0.6318597705787811,0.473546611627107,227.25964912280702,v0
