strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
PS_qb0of3__EV_EBITDA_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,PS_qb0of3__EV_EBITDA_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.25911632967266063,-0.5867207562440143,0.5414312617702448,12.68904593639576,v1
EV_S_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.25902015109612164,-0.6541343129909716,0.5308880308880309,40.1244635193133,v0
P_IC_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,P_IC_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.25874951907372634,-0.6012147134414283,0.5178933153274814,24.110687022900763,v0
OCF_E_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0,OCF_E_qb2of3__FCF_P_qb0of3,C4_ROE_DYN_qmax8,0.2587141816690304,-0.4255024863670219,0.4899676375404531,22.72532188841202,v0
FCF_OI_qb2of3__DEBTRATIO_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,FCF_OI_qb2of3__DEBTRATIO_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.258670289752607,-0.5097089697760863,0.5395299145299145,10.936395759717314,v1
PS_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__OCF_E_qb1of3,C11_EPS_DYN_qmax8,0.2585806038063827,-0.5501883856793397,0.5429508196721311,22.686695278969957,v0
P_IC_qb0of3__ROIC_qb2of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__ROIC_qb2of3,C12_EPS_DYN_yoy,0.2585435239276699,-0.47627163746734336,0.5127826941986234,33.756,v0
PS_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.2585159418406686,-0.38999276377726255,0.52,23.266094420600858,v0
FCF_OI_qb1of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,FCF_OI_qb1of3__EPS_qb1of3,C4_ROE_DYN_qmax8,0.2583862142149591,-0.5271724101049519,0.5257309941520468,25.56223175965665,v0
PB_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__EPS_qb1of3,C11_EPS_DYN_qmax8,0.25813062655746677,-0.5049106836265467,0.5366079703429101,35.75536480686695,v0
PS_qb0of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v1,PS_qb0of3__EV_EBITDA_qb0of3,C5_ROE_DYN_yoy,0.2580458979281959,-0.584467236417241,0.553875236294896,14.411290322580646,v1
