strategy_uid,CAGR_reported,CAGR_without_anomaly,CAGR_inflation_pp,n_anomaly_months,n_months,anomaly_stocks
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.2764271242515532,0.21152239543366091,6.496779880600578,1,284,6130
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,0.2721866596625633,0.20739271920193558,6.485594383903748,1,284,6130
US::P_IC_qb0of3__ROE_qb0of3__C3_ROE_DYN_qmax4__v0,0.2740534989877838,0.21142456599509796,6.263945853567332,1,301,CCCC｜ELMD｜FCEL｜PCYO｜TENX｜VNDA
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C16_FCF_P_DYN_riseq2__v0,0.2232840955066533,0.16137814703435938,6.195230846136335,1,273,6130
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,0.280140428478292,0.21843070057178626,6.175405094882125,1,249,6130
US::REVENUE_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,0.5117797387676848,0.4519563711196797,5.986933747172585,1,307,AMPY｜AMTX｜AREC｜ASYS｜CPRX｜CRNC｜DCTH｜DUOT｜ELA｜ELMD｜ESOA｜GORO｜GRBK｜HIG｜KNTK｜MVST｜NCMI｜ORGO｜REI｜RILY｜SBET｜SLS｜TRON｜TSSI｜UVE｜WLDN
TW::P_IC_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,0.2655319157912477,0.20685471110023057,5.873324599558494,1,273,6130
TW::P_IC_qb0of3__ROIC_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,0.2634549036539342,0.20491236280167935,5.859809992464271,1,273,6130
US::EV_EBITDA_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,0.4509802843084012,0.39245585503248615,5.853207798276094,1,290,ACRS｜ASST｜BDTX｜CATX｜CPRX｜ELDN｜EPM｜EYPT｜FULC｜JANX｜MGNX｜SIDU｜SLS｜SPRB｜TENX｜TNXP｜TSHA｜VNDA｜VRDN｜VSTM｜WATT
US::REVENUE_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v0,0.4895691716503367,0.4311861687872356,5.842667520423173,1,307,ASYS｜CCOI｜CHCI｜CPRX｜CRNC｜DCTH｜ELA｜ELMD｜GORO｜HDSN｜HYMC｜KRMD｜LEU｜ORGO｜REI｜RZLT｜STXS｜SVRA｜TRON｜TSSI
US::P_IC_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,0.5394859400675429,0.4814534422226666,5.813603008133339,1,303,ASST｜AVTX｜BDTX｜CCCC｜DCH｜ELMD｜ESOA｜FCEL｜IVT｜PCYO｜PROK｜SIDU｜SPRB｜TENX｜TSHA｜VNDA
US::REVENUE_qb0of3__EV_S_qb0of3__C16_FCF_P_DYN_riseq2__v0,0.4506896066504382,0.3932680766051537,5.7461239534447595,1,307,AMPY｜AREC｜ASYS｜COGT｜CPRX｜CRNC｜DCTH｜ELA｜ELMD｜ESOA｜GORO｜GRBK｜HIG｜MVST｜ORGO｜REI｜RILY｜SBET｜SLS｜TRON｜TSSI｜UVE｜WLDN
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v0,0.2353259131237035,0.1781750848893655,5.719992011449504,1,273,6130
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,0.2750663766003118,0.21858157761211472,5.654752639435778,1,284,6130
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,0.2655496451212207,0.2093422811494956,5.626770368231915,1,284,6130
US::EV_S_qb0of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v0,0.4028286912965606,0.34710480337803973,5.575882463831605,1,307,AREC｜ASST｜ASYS｜AVTX｜BKKT｜BXC｜CPRX｜CRNC｜CTMX｜DCH｜ELA｜ELMD｜ESOA｜GEVO｜GME｜GORO｜GRBK｜HDSN｜OMER｜ORGO｜RILY｜RXT｜SLS｜SPRB｜SVRA｜TRON
