opponent,metric,tree_key,scheme,window_no,win_share,n_settings,unit_win
D_top_cagr,cagr,US,A,6,0.0,20,False
D_top_cagr,cagr,US,B,1,0.0,20,False
D_top_cagr,cagr,US,B,2,0.0,20,False
D_top_cagr,cagr,US,B,3,0.0,20,False
D_top_cagr,cagr,US,B,4,0.0,20,False
D_top_cagr,cagr,US,C,1,0.0,20,False
D_top_cagr,cagr,US,C,2,0.0,20,False
D_top_cagr,cagr,US,C,3,0.0,20,False
D_top_cagr,cagr,US,D,1,0.1,20,False
D_top_cagr,cagr,US,D,2,0.0,20,False
D_top_cagr,cagr,US,D,3,0.0,20,False
D_top_cagr,cagr,US,D,4,0.0,20,False
D_top_cagr,cagr,US,D,5,0.0,20,False
D_top_cagr,cagr,US,E,1,0.0,20,False
D_top_cagr,cagr,US,E,2,0.0,20,False
D_top_cagr,cagr,US,E,3,0.0,20,False
D_top_cagr,cagr,US,E,4,0.0,20,False
D_top_cagr,cagr,US,F,1,0.0,20,False
D_top_cagr,cagr,US,F,2,0.0,20,False
D_top_cagr,cagr,US,F,3,0.0,20,False
D_top_cagr,cagr,US,G,1,0.0,20,False
D_top_cagr,cagr,US,G,2,0.0,20,False
D_top_cagr,cagr,US,G,3,0.0,20,False
D_top_cagr,cagr,US,G,4,0.0,20,False
D_top_cagr,cagr,US,H,1,0.05,20,False
D_top_cagr,cagr,US,H,2,0.0,20,False
D_top_cagr,cagr,US,H,3,0.0,20,False
D_top_cagr,cagr,US,I,1,0.0,20,False
D_top_cagr,cagr,US,I,2,0.0,20,False
D_top_cagr,cagr,US,J,1,0.0,20,False
D_top_cagr,cagr,US,J,2,0.0,20,False
D_top_cagr,cagr,US,J,3,0.0,20,False
D_top_cagr,cagr,US,K,1,0.0,20,False
D_top_cagr,cagr,US,K,2,0.0,20,False
D_top_cagr,cagr,US,L,1,0.0,20,False
D_top_cagr,cagr,US,L,2,0.0,20,False
D_top_cagr,cagr,US,R,1,0.15,20,False
D_top_cagr,cagr,US,R,2,0.0,20,False
D_top_cagr,cagr,US,R,3,0.7,20,True
D_top_cagr,cagr,US,R,4,0.0,20,False
D_top_cagr,cagr,XM,A,1,0.35,20,False
D_top_cagr,cagr,XM,A,2,0.45,20,False
D_top_cagr,cagr,XM,A,3,0.1,20,False
D_top_cagr,cagr,XM,A,4,0.0,20,False
D_top_cagr,cagr,XM,A,5,1.0,20,True
D_top_cagr,cagr,XM,A,6,0.0,20,False
D_top_cagr,cagr,XM,B,1,0.6,20,True
D_top_cagr,cagr,XM,B,2,0.0,20,False
D_top_cagr,cagr,XM,B,3,0.0,20,False
D_top_cagr,cagr,XM,B,4,0.0,20,False
D_top_cagr,cagr,XM,C,1,0.3,20,False
D_top_cagr,cagr,XM,C,2,0.0,20,False
D_top_cagr,cagr,XM,C,3,0.0,20,False
D_top_cagr,cagr,XM,D,1,0.45,20,False
D_top_cagr,cagr,XM,D,2,0.1,20,False
D_top_cagr,cagr,XM,D,3,0.0,20,False
D_top_cagr,cagr,XM,D,4,1.0,20,True
D_top_cagr,cagr,XM,D,5,0.0,20,False
D_top_cagr,cagr,XM,E,1,0.05,20,False
D_top_cagr,cagr,XM,E,2,0.0,20,False
D_top_cagr,cagr,XM,E,3,0.4,20,False
D_top_cagr,cagr,XM,E,4,0.0,20,False
D_top_cagr,cagr,XM,F,1,0.1,20,False
D_top_cagr,cagr,XM,F,2,0.0,20,False
D_top_cagr,cagr,XM,F,3,0.0,20,False
D_top_cagr,cagr,XM,G,1,0.1,20,False
D_top_cagr,cagr,XM,G,2,0.0,20,False
D_top_cagr,cagr,XM,G,3,1.0,20,True
D_top_cagr,cagr,XM,G,4,0.0,20,False
D_top_cagr,cagr,XM,H,1,0.1,20,False
D_top_cagr,cagr,XM,H,2,0.0,20,False
D_top_cagr,cagr,XM,H,3,0.0,20,False
D_top_cagr,cagr,XM,I,1,0.0,20,False
D_top_cagr,cagr,XM,I,2,0.0,20,False
D_top_cagr,cagr,XM,J,1,0.0,20,False
D_top_cagr,cagr,XM,J,2,1.0,20,True
D_top_cagr,cagr,XM,J,3,0.0,20,False
D_top_cagr,cagr,XM,K,1,0.0,20,False
D_top_cagr,cagr,XM,K,2,0.0,20,False
D_top_cagr,cagr,XM,L,1,0.0,20,False
D_top_cagr,cagr,XM,L,2,0.0,20,False
D_top_cagr,cagr,XM,R,1,0.05,20,False
D_top_cagr,cagr,XM,R,2,0.0,20,False
D_top_cagr,cagr,XM,R,3,0.8,20,True
D_top_cagr,cagr,XM,R,4,0.0,20,False
D_top_cagr,calmar,TW,A,1,0.85,20,True
D_top_cagr,calmar,TW,A,2,0.35,20,False
D_top_cagr,calmar,TW,A,3,0.0,20,False
D_top_cagr,calmar,TW,A,4,0.0,20,False
D_top_cagr,calmar,TW,A,5,0.0,20,False
D_top_cagr,calmar,TW,A,6,0.8,20,True
D_top_cagr,calmar,TW,B,1,0.5,20,False
D_top_cagr,calmar,TW,B,2,0.0,20,False
D_top_cagr,calmar,TW,B,3,0.1,20,False
D_top_cagr,calmar,TW,B,4,0.6,20,True
D_top_cagr,calmar,TW,C,1,0.4,20,False
D_top_cagr,calmar,TW,C,2,0.0,20,False
D_top_cagr,calmar,TW,C,3,0.3,20,False
D_top_cagr,calmar,TW,D,1,0.35,20,False
D_top_cagr,calmar,TW,D,2,0.0,20,False
D_top_cagr,calmar,TW,D,3,0.0,20,False
D_top_cagr,calmar,TW,D,4,0.0,20,False
D_top_cagr,calmar,TW,D,5,0.8,20,True
D_top_cagr,calmar,TW,E,1,0.2,20,False
D_top_cagr,calmar,TW,E,2,0.05,20,False
D_top_cagr,calmar,TW,E,3,0.2,20,False
D_top_cagr,calmar,TW,E,4,0.5,20,False
D_top_cagr,calmar,TW,F,1,0.1,20,False
D_top_cagr,calmar,TW,F,2,0.0,20,False
D_top_cagr,calmar,TW,F,3,0.8,20,True
D_top_cagr,calmar,TW,G,1,0.0,20,False
D_top_cagr,calmar,TW,G,2,0.0,20,False
D_top_cagr,calmar,TW,G,3,0.0,20,False
D_top_cagr,calmar,TW,G,4,0.8,20,True
D_top_cagr,calmar,TW,H,1,0.0,20,False
D_top_cagr,calmar,TW,H,2,0.0,20,False
D_top_cagr,calmar,TW,H,3,0.8,20,True
D_top_cagr,calmar,TW,I,1,0.0,20,False
D_top_cagr,calmar,TW,I,2,0.3,20,False
D_top_cagr,calmar,TW,J,1,0.0,20,False
D_top_cagr,calmar,TW,J,2,0.0,20,False
D_top_cagr,calmar,TW,J,3,0.8,20,True
D_top_cagr,calmar,TW,K,1,0.1,20,False
D_top_cagr,calmar,TW,K,2,0.6,20,True
D_top_cagr,calmar,TW,L,1,0.0,20,False
