tree_key,scheme,mode,window_no,n_windows,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,k_mode,n_clusters,ratio,allocation,group,target_total,n_capped_clusters,n_backfilled,n_members,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe,oos_enb,n_clusters_covered,max_cluster_share
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,legacy,equal,D_top_cagr,55,0,0,55,0.44464611183749314,-0.43462202142227,1.0078557200306748,0.24014425936791417,-0.08932706995649031,2.109870411307809,4.116838071957763,8,0.5454545454545454
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,legacy,equal,E_top_calmar,55,0,0,55,0.3930054057407888,-0.3444635554788992,1.0819491459364523,0.2334593346573508,-0.08156984378449983,2.1752677477448987,3.4022814157965304,7,0.43636363636363634
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,legacy,proportional,A_hrp,55,0,0,55,0.29841868950086137,-0.3703188738452652,1.076082952096422,0.25771708405828053,-0.08722452163431826,2.2006585079128227,4.635885504636572,11,0.2727272727272727
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,legacy,proportional,D_top_cagr,55,0,0,55,0.44464611183749314,-0.43462202142227,1.0078557200306748,0.24014425936791417,-0.08932706995649031,2.109870411307809,4.116838071957763,8,0.5454545454545454
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,legacy,proportional,E_top_calmar,55,0,0,55,0.3930054057407888,-0.3444635554788992,1.0819491459364523,0.2334593346573508,-0.08156984378449983,2.1752677477448987,3.4022814157965304,7,0.43636363636363634
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,equal,A_hrp,67,0,3,67,0.32687562529188163,-0.37098746538604677,1.1054625843392565,0.2518837354857668,-0.08406298831498238,2.2291665681859953,4.895176217794173,11,0.1044776119402985
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,equal,D_top_cagr,67,0,0,67,0.4364174006299075,-0.4295098318858275,1.0496202696025099,0.2384610914307621,-0.09033369747126851,2.105374552440784,4.367998784667618,9,0.4626865671641791
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,equal,E_top_calmar,67,0,0,67,0.3836311886403536,-0.3486934373875623,1.0893540665961055,0.23308641567003652,-0.07878106991549472,2.220398275282127,3.6567348346887285,7,0.417910447761194
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,proportional,A_hrp,67,0,0,67,0.29067280819080565,-0.38556770272745056,1.0511965143298638,0.25584397870384046,-0.08600397941923954,2.198841957242802,4.664141621560023,11,0.26865671641791045
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,proportional,D_top_cagr,67,0,0,67,0.4364174006299075,-0.4295098318858275,1.0496202696025099,0.2384610914307621,-0.09033369747126851,2.105374552440784,4.367998784667618,9,0.4626865671641791
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.01,proportional,E_top_calmar,67,0,0,67,0.3836311886403536,-0.3486934373875623,1.0893540665961055,0.23308641567003652,-0.07878106991549472,2.220398275282127,3.6567348346887285,7,0.417910447761194
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,equal,A_hrp,200,0,32,200,0.26563293424995305,-0.4365844861117628,0.9490442427692288,0.24085397559140742,-0.08821673000379215,2.176046830901793,5.486008983741213,11,0.095
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,equal,D_top_cagr,200,0,0,200,0.3630015797191759,-0.4467828414566263,1.0587573824691328,0.23550219156419527,-0.09252956628995046,2.0915781827558146,4.517179382544043,11,0.27
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,equal,E_top_calmar,200,0,0,200,0.32838232395413147,-0.3728529258245563,1.1127278133622163,0.23625728003718716,-0.08300851150417221,2.2236567310154127,4.078035354469715,10,0.29
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,silhouette_is,11,0.03,proportional,A_hrp,200,0,0,200,0.2256243236860298,-0.4514530071680789,0.8632610123479114,0.2504090778391741,-0.08624978162766872,2.227611055727384,5.665825156494368,11,0.275
