tree_key,scheme,k_mode,ratio,allocation,group,n_windows,n_members_mean,jaccard_adjacent_mean,jaccard_adjacent_max,overlap_coef_adjacent_mean,core_size,core_share
TW,F,fixed,0.1,equal,A_hrp,3,668.0,0.4803692144493582,0.48775055679287305,0.6489520958083832,333,0.49850299401197606
TW,F,fixed,0.1,equal,D_top_cagr,3,668.0,0.6185846916102369,0.6352509179926561,0.7642215568862276,426,0.6377245508982036
TW,F,fixed,0.1,equal,E_top_calmar,3,668.0,0.721226721883752,0.7555847568988173,0.8375748502994012,499,0.7470059880239521
TW,F,fixed,0.1,proportional,A_hrp,3,668.0,0.43117341540608334,0.43193997856377275,0.6025449101796407,262,0.39221556886227543
TW,F,fixed,0.1,proportional,D_top_cagr,3,668.0,0.6185846916102369,0.6352509179926561,0.7642215568862276,426,0.6377245508982036
TW,F,fixed,0.1,proportional,E_top_calmar,3,668.0,0.721226721883752,0.7555847568988173,0.8375748502994012,499,0.7470059880239521
TW,F,fixed,legacy,equal,A_hrp,3,30.0,0.4817073170731707,0.5,0.6499999999999999,14,0.4666666666666667
TW,F,fixed,legacy,equal,D_top_cagr,3,30.0,0.6515837104072397,0.7647058823529411,0.7833333333333333,21,0.7
TW,F,fixed,legacy,equal,E_top_calmar,3,30.0,0.7394957983193278,0.7647058823529411,0.8500000000000001,21,0.7
TW,F,fixed,legacy,proportional,A_hrp,3,30.0,0.383881230116649,0.4634146341463415,0.55,11,0.36666666666666664
TW,F,fixed,legacy,proportional,D_top_cagr,3,30.0,0.6515837104072397,0.7647058823529411,0.7833333333333333,21,0.7
TW,F,fixed,legacy,proportional,E_top_calmar,3,30.0,0.7394957983193278,0.7647058823529411,0.8500000000000001,21,0.7
TW,F,silhouette_is,0.01,equal,A_hrp,3,67.0,0.42569326542161856,0.44086021505376344,0.5970149253731343,28,0.417910447761194
TW,F,silhouette_is,0.01,equal,D_top_cagr,3,67.0,0.5338827838827839,0.5952380952380952,0.6940298507462687,34,0.5074626865671642
TW,F,silhouette_is,0.01,equal,E_top_calmar,3,67.0,0.7296802131912059,0.7631578947368421,0.8432835820895522,51,0.7611940298507462
TW,F,silhouette_is,0.01,proportional,A_hrp,3,67.0,0.31486291486291484,0.35353535353535354,0.4776119402985074,21,0.31343283582089554
TW,F,silhouette_is,0.01,proportional,D_top_cagr,3,67.0,0.5338827838827839,0.5952380952380952,0.6940298507462687,34,0.5074626865671642
TW,F,silhouette_is,0.01,proportional,E_top_calmar,3,67.0,0.7296802131912059,0.7631578947368421,0.8432835820895522,51,0.7611940298507462
TW,F,silhouette_is,0.03,equal,A_hrp,3,200.0,0.3611111111111111,0.3888888888888889,0.53,73,0.365
TW,F,silhouette_is,0.03,equal,D_top_cagr,3,200.0,0.5480895915678524,0.5810276679841897,0.7075,120,0.6
TW,F,silhouette_is,0.03,equal,E_top_calmar,3,200.0,0.7321210985097011,0.762114537444934,0.845,150,0.75
TW,F,silhouette_is,0.03,proportional,A_hrp,3,200.0,0.28016058334357463,0.29449838187702265,0.4375,55,0.275
TW,F,silhouette_is,0.03,proportional,D_top_cagr,3,200.0,0.5480895915678524,0.5810276679841897,0.7075,120,0.6
TW,F,silhouette_is,0.03,proportional,E_top_calmar,3,200.0,0.7321210985097011,0.762114537444934,0.845,150,0.75
TW,F,silhouette_is,0.05,equal,A_hrp,3,334.0,0.3963308197179165,0.4458874458874459,0.5658682634730539,135,0.4041916167664671
TW,F,silhouette_is,0.05,equal,D_top_cagr,3,334.0,0.5986717050269095,0.6292682926829268,0.7485029940119761,204,0.6107784431137725
TW,F,silhouette_is,0.05,equal,E_top_calmar,3,334.0,0.7216952305035207,0.7305699481865285,0.8383233532934131,252,0.7544910179640718
TW,F,silhouette_is,0.05,proportional,A_hrp,3,334.0,0.27816253434455407,0.31237721021611004,0.4341317365269461,83,0.24850299401197604
TW,F,silhouette_is,0.05,proportional,D_top_cagr,3,334.0,0.5986717050269095,0.6292682926829268,0.7485029940119761,204,0.6107784431137725
TW,F,silhouette_is,0.05,proportional,E_top_calmar,3,334.0,0.7216952305035207,0.7305699481865285,0.8383233532934131,252,0.7544910179640718
TW,F,silhouette_is,0.1,equal,A_hrp,3,668.0,0.47373359945349747,0.5216400911161732,0.6414670658682635,335,0.5014970059880239
TW,F,silhouette_is,0.1,equal,D_top_cagr,3,668.0,0.6185846916102369,0.6352509179926561,0.7642215568862276,426,0.6377245508982036
TW,F,silhouette_is,0.1,equal,E_top_calmar,3,668.0,0.721226721883752,0.7555847568988173,0.8375748502994012,499,0.7470059880239521
TW,F,silhouette_is,0.1,proportional,A_hrp,3,668.0,0.38935708605607994,0.43193997856377275,0.5591317365269461,260,0.38922155688622756
TW,F,silhouette_is,0.1,proportional,D_top_cagr,3,668.0,0.6185846916102369,0.6352509179926561,0.7642215568862276,426,0.6377245508982036
TW,F,silhouette_is,0.1,proportional,E_top_calmar,3,668.0,0.721226721883752,0.7555847568988173,0.8375748502994012,499,0.7470059880239521
TW,F,silhouette_is,legacy,equal,A_hrp,3,38.333333333333336,0.4454691259021652,0.5116279069767442,0.7333333333333333,17,0.4434782608695652
TW,F,silhouette_is,legacy,equal,D_top_cagr,3,38.333333333333336,0.5606060606060606,0.6666666666666666,0.8500000000000001,23,0.6
TW,F,silhouette_is,legacy,equal,E_top_calmar,3,38.333333333333336,0.6395768833849329,0.7105263157894737,0.9333333333333333,26,0.6782608695652174
TW,F,silhouette_is,legacy,proportional,A_hrp,3,38.333333333333336,0.3412314078173642,0.3559322033898305,0.6166666666666667,13,0.3391304347826087
TW,F,silhouette_is,legacy,proportional,D_top_cagr,3,38.333333333333336,0.5606060606060606,0.6666666666666666,0.8500000000000001,23,0.6
TW,F,silhouette_is,legacy,proportional,E_top_calmar,3,38.333333333333336,0.6395768833849329,0.7105263157894737,0.9333333333333333,26,0.6782608695652174
TW,G,fixed,0.01,equal,A_hrp,4,67.0,0.46973445489031834,0.5581395348837209,0.6368159203980098,27,0.40298507462686567
TW,G,fixed,0.01,equal,D_top_cagr,4,67.0,0.6898602426380206,0.7402597402597403,0.8159203980099502,35,0.5223880597014925
TW,G,fixed,0.01,equal,E_top_calmar,4,67.0,0.8110313052778807,0.8356164383561644,0.8955223880597014,49,0.7313432835820896
TW,G,fixed,0.01,proportional,A_hrp,4,67.0,0.42225404781795756,0.4888888888888889,0.5920398009950248,23,0.34328358208955223
TW,G,fixed,0.01,proportional,D_top_cagr,4,67.0,0.6898602426380206,0.7402597402597403,0.8159203980099502,35,0.5223880597014925
TW,G,fixed,0.01,proportional,E_top_calmar,4,67.0,0.8110313052778807,0.8356164383561644,0.8955223880597014,49,0.7313432835820896
TW,G,fixed,0.03,equal,A_hrp,4,200.0,0.5065830131628234,0.556420233463035,0.6716666666666667,88,0.44
TW,G,fixed,0.03,equal,D_top_cagr,4,200.0,0.7180899024385302,0.7857142857142857,0.835,122,0.61
TW,G,fixed,0.03,equal,E_top_calmar,4,200.0,0.8156405253179447,0.8433179723502304,0.8983333333333334,146,0.73
TW,G,fixed,0.03,proportional,A_hrp,4,200.0,0.37554640168381637,0.45985401459854014,0.5433333333333333,47,0.235
