tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,F,fixed,0.05,proportional,3,2007-01,2022-12,2023-01,2025-12,36,6,334,30,334.0,0.0,True,0.1296381674326272,0.0024876180400262,-0.1427395991041856,0.0020665535262964,1.0092806319779395,0.0157919370255365,5.778322575791743,0.0772648158281486
TW,F,fixed,0.1,equal,3,2007-01,2022-12,2023-01,2025-12,36,6,668,30,668.0,205.53333333333333,False,0.1284198265813122,0.0015442053853428,-0.139021632247706,0.0015927307240311,1.0138047212935608,0.0105665174404248,,
TW,F,fixed,0.1,proportional,3,2007-01,2022-12,2023-01,2025-12,36,6,668,30,668.0,163.43333333333334,False,0.1306742982793847,0.0013580075921454,-0.139136523013267,0.0011096240447044,1.038264237181614,0.0096041539614985,,
TW,F,silhouette_is,legacy,equal,3,2007-01,2022-12,2023-01,2025-12,36,10,50,30,50.0,0.0,True,0.1438924359553675,0.006018738980862,-0.1351637585881611,0.004367120975538,1.1466373007670505,0.0443039836481164,4.008477591668908,0.1678684914372124
TW,F,silhouette_is,legacy,proportional,3,2007-01,2022-12,2023-01,2025-12,36,10,50,30,50.0,0.0,True,0.1436183537772334,0.0047305077806273,-0.1357980385512674,0.0037854330508948,1.1441984232297016,0.0269780805887637,4.039711247297501,0.1571204520544878
TW,F,silhouette_is,0.01,equal,3,2007-01,2022-12,2023-01,2025-12,36,10,67,30,67.0,0.0,True,0.1424746653461647,0.005022849514382,-0.1345665231790398,0.0040653025843113,1.1292991429675434,0.0407740190374625,4.207607726346716,0.1609091975609877
TW,F,silhouette_is,0.01,proportional,3,2007-01,2022-12,2023-01,2025-12,36,10,67,30,67.0,0.0,True,0.1417252080290766,0.0033838536053547,-0.1366238282631009,0.0030868126745189,1.116893218013544,0.0270012910004954,4.204855089863011,0.1302575781681047
TW,F,silhouette_is,0.03,equal,3,2007-01,2022-12,2023-01,2025-12,36,10,200,30,200.0,2.8666666666666667,True,0.1358444785038037,0.0029059320338412,-0.1392350600697116,0.0029791152322288,1.0510571381502405,0.0223990762524199,5.010158570299237,0.1249486040873186
TW,F,silhouette_is,0.03,proportional,3,2007-01,2022-12,2023-01,2025-12,36,10,200,30,200.0,0.0,True,0.1368241831721359,0.002458050892449,-0.1396387903330448,0.0025491546244179,1.0581149453585408,0.0162211310215937,5.077791866460452,0.100032452234122
TW,F,silhouette_is,0.05,equal,3,2007-01,2022-12,2023-01,2025-12,36,10,334,30,334.0,15.166666666666666,True,0.1318512483726695,0.002234567755861,-0.1418472208222895,0.0016483834445008,1.023864198031373,0.015513211417736,5.2519766361122,0.0846159981124656
TW,F,silhouette_is,0.05,proportional,3,2007-01,2022-12,2023-01,2025-12,36,10,334,30,334.0,0.0,True,0.1338613857732732,0.002503459947643,-0.1417542035419437,0.0013908802868072,1.0339404801832088,0.0158223081848215,5.429042945457696,0.1000296550083193
TW,F,silhouette_is,0.1,equal,3,2007-01,2022-12,2023-01,2025-12,36,10,668,30,668.0,124.5,False,0.1284573481655228,0.001365359146359,-0.1405627633449091,0.0014425594939891,1.0091584896224046,0.0099256962277603,,
TW,F,silhouette_is,0.1,proportional,3,2007-01,2022-12,2023-01,2025-12,36,10,668,30,668.0,51.03333333333333,False,0.1275757193327193,0.0017335959137451,-0.1420017560508354,0.0011549518823851,1.003322150100748,0.0132830279665212,,
TW,G,fixed,legacy,equal,1,2007-01,2016-12,2017-01,2018-12,24,6,30,30,30.0,0.0,True,0.1579862594530828,0.0068666853315845,-0.1337167298056994,0.0042135522624498,1.3015572615875082,0.0449100728470109,3.080015733755146,0.1441378981500121
TW,G,fixed,legacy,proportional,1,2007-01,2016-12,2017-01,2018-12,24,6,30,30,30.0,0.0,True,0.1575364979964977,0.0057486723256963,-0.1343344028443538,0.0027336845709901,1.29642256116658,0.0423724488784565,3.2551258424160654,0.1397959822026234
TW,G,fixed,0.01,equal,1,2007-01,2016-12,2017-01,2018-12,24,6,67,30,67.0,0.0333333333333333,True,0.1479676117504424,0.0063775061969529,-0.1397701146949885,0.0032865712325283,1.2175763628477616,0.0460052278201721,3.646424806225937,0.1563363945195088
TW,G,fixed,0.01,proportional,1,2007-01,2016-12,2017-01,2018-12,24,6,67,30,67.0,0.0,True,0.1501720871620232,0.0040225002788431,-0.1394463534223405,0.0025999457242878,1.2330519489630232,0.0252666238641372,3.666318055397407,0.1179979826726248
TW,G,fixed,0.03,equal,1,2007-01,2016-12,2017-01,2018-12,24,6,200,30,200.0,16.933333333333334,True,0.1340163581781696,0.0032645926380366,-0.1441856103564352,0.0014018577210766,1.1118558767580684,0.0226385252314116,3.951675592055453,0.0882082850060543
TW,G,fixed,0.03,proportional,1,2007-01,2016-12,2017-01,2018-12,24,6,200,30,200.0,0.0,True,0.1341527143569121,0.0025307447971801,-0.1433870415646344,0.0013758527586017,1.1184166050194997,0.0172137084613265,4.076167080974989,0.0713387781641354
TW,G,fixed,0.05,equal,1,2007-01,2016-12,2017-01,2018-12,24,6,334,30,334.0,55.93333333333333,True,0.1291147313713227,0.0032854612519771,-0.1456106932491566,0.001428143810614,1.0718764780698564,0.0235748848956631,3.964478538523173,0.0739801195556882
TW,G,fixed,0.05,proportional,1,2007-01,2016-12,2017-01,2018-12,24,6,334,30,334.0,0.0,True,0.1249950123246934,0.0028827654666035,-0.1472248425304765,0.0013313932581368,1.0414565617107308,0.0194774094579591,4.471279878873493,0.068072787341521
TW,G,fixed,0.1,equal,1,2007-01,2016-12,2017-01,2018-12,24,6,668,30,668.0,199.4333333333333,False,0.1232442026705039,0.0018417463590594,-0.1484961069235421,0.0011053719885303,1.0217899502589265,0.014423608881872,,
TW,G,fixed,0.1,proportional,1,2007-01,2016-12,2017-01,2018-12,24,6,668,30,668.0,185.03333333333333,False,0.1295490082184559,0.0012974053387311,-0.1464427294089912,0.0010276907009508,1.0718748915500065,0.0097974475550334,,
TW,G,silhouette_is,legacy,equal,1,2007-01,2016-12,2017-01,2018-12,24,7,35,30,35.0,0.0,True,0.1562524475278286,0.0074761235987705,-0.133885881079604,0.0043383087154619,1.2906893533926491,0.0560574226806396,3.172039770652051,0.1570845851401286
TW,G,silhouette_is,legacy,proportional,1,2007-01,2016-12,2017-01,2018-12,24,7,35,30,35.0,0.0,True,0.1595200832586102,0.005885545197737,-0.1344479975744225,0.0033580065312005,1.303586182018586,0.0452165519175412,3.2975833649949746,0.1347140975228293
