tree_key,scheme,window_no,quality_metric,mode,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,n_pairs,spearman,spearman_p,pearson,oos_pct_top01,oos_pct_top03,oos_pct_top05,oos_pct_top10
TW,F,2,calmar,anchored,96,48,2007-01,2018-12,2019-01,2022-12,144,48,6679,6679,0.36523826868289855,6.854870438822941e-210,0.32985371164072935,0.7323846406535967,0.6727526575834706,0.6357153935877309,0.6153745809772878
TW,F,2,cagr,anchored,96,48,2007-01,2018-12,2019-01,2022-12,144,48,6679,6679,0.473326646815453,0.0,0.47484145233993164,0.7722511860520723,0.7094572540799521,0.7013761068968516,0.6941425578249102
TW,F,3,calmar,anchored,96,48,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,F,3,cagr,anchored,96,48,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,G,1,calmar,anchored,120,24,2007-01,2016-12,2017-01,2018-12,120,24,6679,6679,0.43670327407249127,3.59256723744085e-309,0.4053617269766207,0.7818803869557734,0.7299782901631979,0.7218522977999683,0.6985874037222755
TW,G,1,cagr,anchored,120,24,2007-01,2016-12,2017-01,2018-12,120,24,6679,6679,0.4278875941203175,1.430667125174397e-295,0.38288170642265074,0.7688075567662511,0.7098525228327595,0.7020269985556661,0.6810521045048695
TW,G,2,calmar,anchored,120,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.2445058086525273,1.6680055514013288e-91,0.15511867831460854,0.6172677561436716,0.6027489145081598,0.5765008387178331,0.5690882047852192
TW,G,2,cagr,anchored,120,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.391866498186451,4.754321783732539e-244,0.3946737347886567,0.7637192090155599,0.7223716125168438,0.6943498838525971,0.6734534374879526
TW,G,3,calmar,anchored,120,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4095074735156201,1.7290176887887337e-268,0.40433421479262394,0.7873486289171003,0.7254289564306033,0.6884340317717612,0.668825024004992
TW,G,3,cagr,anchored,120,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4239803341963501,1.1350873213968377e-289,0.42182183640971477,0.760867767763965,0.6779974547087888,0.6809622258701641,0.6834106902230873
