tree_key,is_start,is_end,oos_start,oos_end,n_members,n_universe,n_draws,enb_computed,is_cagr,is_cagr_std,is_mdd,is_mdd_std,is_sharpe,is_sharpe_std,is_enb,is_enb_std,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,2007-01,2014-12,2015-01,2018-12,30,6679,200,True,0.1533519507081732,0.011348432420027,-0.548888079112679,0.0166878032872218,0.6878779045685018,0.0380964361508102,2.391269610877196,0.245971136872011,0.0900723423631318,0.0087410102849383,-0.1767355825962365,0.0074773890572589,0.7715516487581159,0.0668958255189121,2.8481139047830824,0.2763998120098468
TW,2007-01,2014-12,2015-01,2018-12,35,6679,200,True,0.1531884735954767,0.0101714783087093,-0.5487809534461036,0.0141509793141949,0.6877096552687216,0.0342979879346186,2.428980597066742,0.2436467895844056,0.0904266638684496,0.007760792378295,-0.1767277453206858,0.0075552957966905,0.7741619523252707,0.0608475127918533,2.9070411636153106,0.2782922362492874
TW,2007-01,2014-12,2015-01,2018-12,67,6679,200,True,0.1522818516703777,0.0074943407948228,-0.5500181463404636,0.0098773917537369,0.6860544740499886,0.0255953795517502,2.5630746016922097,0.2145434246615591,0.0895504905021594,0.0061878901628373,-0.1769588977769925,0.0052969376309756,0.7685698430658546,0.0477111787958622,3.077882344485636,0.2421798057830945
TW,2007-01,2014-12,2015-01,2018-12,200,6679,200,True,0.1531327810852425,0.0042413532936632,-0.5495521696577141,0.006211610066962,0.6890070300949184,0.014937890209489,2.744779787271918,0.1374230798419904,0.0902463332849524,0.0034938190652313,-0.1768242891979446,0.0029965550055521,0.7748468394284849,0.0270286776116044,3.289307791373167,0.1586313051950653
TW,2007-01,2014-12,2015-01,2018-12,334,6679,200,True,0.1534403724741181,0.0034019399883447,-0.5485702552411285,0.0043763245848884,0.6904191648379211,0.011722795699017,2.7806311167430384,0.1021283305437724,0.0902652084550281,0.0025639366146933,-0.1770527582129077,0.0023417924079036,0.7743974658105569,0.0201601003075555,3.3220085676708964,0.1119578373122843
TW,2007-01,2014-12,2015-01,2018-12,668,6679,200,False,0.1530887476596114,0.0021083069829553,-0.5491423783718075,0.0032658261513669,0.6894054114798115,0.0073705975059527,,,0.090181891704569,0.0016336637591318,-0.177110787818653,0.0016278736299131,0.7742835643452765,0.0126320440718953,,
TW,2007-01,2015-12,2016-01,2018-12,30,6679,200,True,0.1326186854164017,0.0109518138845198,-0.5511514195267003,0.0171475253918319,0.629007049959349,0.038443423318351,2.3805159099199296,0.25877530282618,0.1293995417537835,0.0098792110827874,-0.1511552158845594,0.0056093885749985,1.145588683980312,0.0789787311218434,2.925834439228008,0.2887312133780377
TW,2007-01,2015-12,2016-01,2018-12,35,6679,200,True,0.1334553287582086,0.0089151178892578,-0.550242893030876,0.0142660323893666,0.6328257120561784,0.031582915843436,2.4554612031998424,0.2472301232185758,0.1300645269242792,0.0082214831862443,-0.1513500879583267,0.0055771339034137,1.1528375481784103,0.0663483695434368,2.991860793410288,0.2794787514800004
TW,2007-01,2015-12,2016-01,2018-12,67,6679,200,True,0.1331205297512659,0.0068602393586591,-0.5483906336860567,0.0106803999308362,0.6332551073219868,0.0243807887561208,2.610088724349456,0.2075128992675578,0.129767479798062,0.0067694454544553,-0.1511610320119422,0.0046333016844675,1.1532613624743997,0.0569917220320636,3.1850174515659337,0.2263068118425515
TW,2007-01,2015-12,2016-01,2018-12,200,6679,200,True,0.1322277775618794,0.003784413755376,-0.5493780216157758,0.0067882183516702,0.630418593963611,0.0135586245680747,2.7799797340134376,0.1350044685642678,0.1286534335756758,0.003641666707304,-0.1513808114682782,0.002410936815475,1.146959782590948,0.0294773283980057,3.3500481317434843,0.1505797653044657
TW,2007-01,2015-12,2016-01,2018-12,334,6679,200,True,0.1328729550813969,0.0029263783058314,-0.5496664650479223,0.0044568563023875,0.632732955942335,0.0106247695481578,2.8337915064378056,0.1003242330586667,0.1292038057401971,0.0029221219766884,-0.150876156103923,0.0018329538396084,1.152704106130073,0.0239846074895285,3.39651214174199,0.1162369054446242
TW,2007-01,2015-12,2016-01,2018-12,668,6679,200,False,0.1330323886107325,0.0021436396220465,-0.5486730948290466,0.0029717494178946,0.6336464696307261,0.0076744485431245,,,0.129448863201331,0.0019753229495926,-0.1511288144922081,0.0012803267625253,1.1539084509254935,0.0160183135071255,,
TW,2007-01,2016-12,2017-01,2018-12,30,6679,200,True,0.1356782771466521,0.009395751377046,-0.5477774998151647,0.0142503894375098,0.6603219470534707,0.0358551040258539,2.422841272051867,0.2655372545160956,0.1141809653570943,0.0103501933969689,-0.1513463884088235,0.0060330744058375,0.9428204382028796,0.0765706063581295,2.5378559639428864,0.2407745678772226
TW,2007-01,2016-12,2017-01,2018-12,35,6679,200,True,0.1352239590897602,0.009291350818426,-0.5488838984907979,0.014984553210623,0.6583012383091009,0.0347083148691192,2.461953923047624,0.2545094215246231,0.1157255648442088,0.0098531704603353,-0.1514466128393845,0.005785409288269,0.9521907005027116,0.0723114933317568,2.593184552567264,0.2229550845829739
TW,2007-01,2016-12,2017-01,2018-12,67,6679,200,True,0.1355693941898615,0.0069330145481563,-0.5486823274378225,0.0108825517371356,0.6609593220875789,0.025249713696593,2.652709246755769,0.2106611814078153,0.115199231239297,0.0074098674474577,-0.1513033026124257,0.0040774431740801,0.9522754883668708,0.0549184404130522,2.693033295911217,0.1748409492702506
