tree_key,metric,ratio,n_cells,z_mean,z_median,pct_A_wins,pct_z_over_2,pct_z_under_neg2,diff_mean,diff_median,random_std_mean
US,oos_mdd,0.05,180,-1.3978738334849719,-1.0303164967821914,0.4,0.31666666666666665,0.4666666666666667,-0.0021209392861579364,-0.003248529987183002,0.0026549513044921455
XM,oos_mdd,0.05,180,8.384479402574799,4.282789268455253,0.7555555555555555,0.6944444444444444,0.2111111111111111,0.012143204376749114,0.00652239697810672,0.0015018913194439515
TW,oos_mdd,0.1,180,-1.3122316249030663,-0.0744872845208978,0.48333333333333334,0.10555555555555556,0.4,-0.0012786036964507414,-7.654988964120313e-05,0.0011079112041042804
US,oos_mdd,0.1,180,1.7263339333833354,2.0735303219688177,0.7333333333333333,0.5111111111111111,0.17777777777777778,0.0035161551375307667,0.003959243005323493,0.0018451146760281175
XM,oos_mdd,0.1,180,21.536658917928495,17.61637745919501,0.8611111111111112,0.8388888888888889,0.08333333333333333,0.015587718307926858,0.0150309805535008,0.0008969176589361616
TW,oos_mdd,legacy,180,-0.5288262329590244,-0.30166318039106554,0.3611111111111111,0.09444444444444444,0.18333333333333332,-0.0012988407014486133,-0.0015227569258880885,0.003982543781992887
US,oos_mdd,legacy,180,-1.357635628490291,-1.1310637408992683,0.31666666666666665,0.005555555555555556,0.35555555555555557,-0.00807821003959813,-0.008704370824848595,0.008197645289246719
XM,oos_mdd,legacy,180,1.456875627446917,1.7491999754332925,0.8722222222222222,0.43333333333333335,0.03888888888888889,0.02051706493581732,0.0273645593558903,0.01306085711273024
TW,oos_sharpe,ALL,900,-0.03569695076625196,-0.15346634122210814,0.4855555555555556,0.22111111111111112,0.2311111111111111,-0.004615882791225756,-0.002154912523184227,0.02322025850249554
US,oos_sharpe,ALL,900,-2.2503971728292353,-2.6056355611410362,0.25666666666666665,0.16555555555555557,0.5488888888888889,-0.08210732145201431,-0.055965545124789684,0.02722117934829068
XM,oos_sharpe,ALL,900,-2.564476138130472,-1.1327341991637607,0.4411111111111111,0.3322222222222222,0.45,-0.0008412992345942576,-0.02783604808606277,0.03033564900153661
TW,oos_sharpe,0.01,180,-0.7039001951165876,-0.8344441730569377,0.35,0.07777777777777778,0.24444444444444444,-0.02031970195609909,-0.023381639164998025,0.03008002132539871
US,oos_sharpe,0.01,180,-4.818356614671605,-4.673155709339308,0.027777777777777776,0.0,0.8111111111111111,-0.1603442481261962,-0.15265128250702364,0.03440265080504419
XM,oos_sharpe,0.01,180,2.3396192077259665,2.4730688195940105,0.6888888888888889,0.5722222222222222,0.12222222222222222,0.07200035250447151,0.08851287451443535,0.03576380761634232
TW,oos_sharpe,0.03,180,0.014822192870218793,0.5810062239610623,0.6222222222222222,0.22777777777777777,0.25555555555555554,0.002749227165884494,0.009124595591689544,0.018611568668745925
US,oos_sharpe,0.03,180,-3.8188043625200496,-3.0044791609319526,0.16666666666666666,0.03333333333333333,0.5833333333333334,-0.06840241027376331,-0.06060206978505245,0.01962529511351105
XM,oos_sharpe,0.03,180,-9.95272892333683,-11.781589295556088,0.2222222222222222,0.17222222222222222,0.75,-0.09738642631430297,-0.11848103543969812,0.013890741468565048
TW,oos_sharpe,0.05,180,0.4713378672388464,1.113404586145283,0.6166666666666667,0.2722222222222222,0.16666666666666666,0.010396893965344331,0.015333485908887612,0.014807529406865489
US,oos_sharpe,0.05,180,-0.8510401762212663,-0.3217678516191096,0.4222222222222222,0.25,0.36666666666666664,-0.010686079254818775,-0.005710170969722372,0.01554899456497026
XM,oos_sharpe,0.05,180,-9.50160043856057,-11.601488238179392,0.2222222222222222,0.2,0.7166666666666667,-0.053412626678611415,-0.09342651795413237,0.008625076804338012
TW,oos_sharpe,0.1,180,0.9106599139862365,1.5838389118566407,0.6166666666666667,0.46111111111111114,0.26666666666666666,0.015650415111092768,0.014615393404753485,0.010218639959210843
US,oos_sharpe,0.1,180,1.9999281925573689,2.254845571496909,0.6388888888888888,0.5444444444444444,0.2722222222222222,0.021358857036797938,0.025487402601985787,0.01076500494497924
XM,oos_sharpe,0.1,180,3.5422779574097163,-4.865319238257689,0.45,0.43333333333333335,0.5444444444444444,0.021085986078547628,-0.013794977576405909,0.005024747970410323
TW,oos_sharpe,legacy,180,-0.8714045328099739,-0.9470687374746312,0.2222222222222222,0.06666666666666667,0.2222222222222222,-0.03155624824235127,-0.04297092033665845,0.04238353315225672
US,oos_sharpe,legacy,180,-3.7637129032906262,-3.6078895985498867,0.027777777777777776,0.0,0.7111111111111111,-0.19246272664209121,-0.19930667479456732,0.05576395131294865
XM,oos_sharpe,legacy,180,0.7500515061093591,0.6799744599791924,0.6222222222222222,0.2833333333333333,0.11666666666666667,0.05350621823692396,0.06076736393631299,0.08837387114802736
TW,oos_enb,ALL,720,-0.7790990840877012,-0.38443582373294366,0.4097222222222222,0.06666666666666667,0.26805555555555555,-0.039030691873761555,-0.04273848882395237,0.09873844304371665
US,oos_enb,ALL,540,-1.5402508658704934,-1.071939302057879,0.2962962962962963,0.08333333333333333,0.37407407407407406,-0.1654648448527276,-0.1114468195947107,0.13054170777792704
XM,oos_enb,ALL,360,-0.7371058181431621,-0.47130800926224004,0.4083333333333333,0.10555555555555556,0.29444444444444445,-0.13007980763186977,-0.08935607460492312,0.23523375250461423
TW,oos_enb,0.01,180,0.2013785372849209,0.11596439569486175,0.5277777777777778,0.07777777777777778,0.05,0.013614869939598815,0.017590772824796597,0.11339670470549006
US,oos_enb,0.01,180,-0.845888464579667,-0.45075560164901113,0.4444444444444444,0.12222222222222222,0.26666666666666666,-0.10887792628121838,-0.043915732569971944,0.130303110428867
XM,oos_enb,0.01,180,-2.3740267837909887,-2.337490519698011,0.13333333333333333,0.05555555555555555,0.5888888888888889,-0.4704581083748486,-0.49414998050474646,0.22714988552858273
TW,oos_enb,0.03,180,-1.2740631214213298,-1.3662899525792294,0.18333333333333332,0.08333333333333333,0.3333333333333333,-0.09837893071892362,-0.069820272064266,0.08167115474284838
US,oos_enb,0.03,180,-3.5703260200956555,-3.2352611881905107,0.06111111111111111,0.022222222222222223,0.7111111111111111,-0.31169587141187577,-0.27239536624792704,0.08702098129612473
TW,oos_enb,0.05,180,-2.8058626797647204,-2.6918205695694466,0.16666666666666666,0.016666666666666666,0.6722222222222223,-0.1621006498707561,-0.16230818332345032,0.07071520299609076
TW,oos_enb,legacy,180,0.7621509275503244,0.8440900714676127,0.7611111111111111,0.08888888888888889,0.016666666666666666,0.09074194315503467,0.0858204948610819,0.12917070973043743
US,oos_enb,legacy,180,-0.20453811293615823,-0.38340893669237147,0.38333333333333336,0.10555555555555556,0.14444444444444443,-0.07582073686508871,-0.03427166666775339,0.1743010316087894
XM,oos_enb,legacy,180,0.8998151475046648,1.1440327059574074,0.6833333333333333,0.15555555555555556,0.0,0.21029849311110904,0.23426949698820465,0.24331761948064576
