tree_key,scheme,window_no,ratio,allocation,group,threshold_mode,is_start,is_end,oos_start,oos_end,n_clusters,target_total,n_members,n_draws,n_backfilled_mean,threshold_global,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,E,4,0.03,equal,A2_random,global,2007-01,2023-12,2024-01,2025-12,6,200,200,30,14.966666666666667,0.8265066966692963,-0.00541869725922004,0.003745079977472533,-0.1392650664334474,0.0024981153501808322,0.018625232427307136,0.030369258601308093,4.248511512760348,0.10409600033322478
TW,E,4,0.03,proportional,A_hrp,group_relative,2007-01,2023-12,2024-01,2025-12,6,200,200,1,0.0,0.8265066966692963,0.013250537364055459,,-0.13559667313438217,,0.16923872726353337,,4.240671735537527,
TW,E,4,0.03,proportional,A2_random,group_relative,2007-01,2023-12,2024-01,2025-12,6,200,200,30,0.0,0.8265066966692963,-0.004324130105954897,0.0028547391905015315,-0.14027247622210348,0.0019956514513830522,0.028176487124383566,0.023187333918833958,4.334874949022753,0.079590801696824
TW,E,4,0.03,proportional,A_hrp,global,2007-01,2023-12,2024-01,2025-12,6,200,200,1,52.0,0.8265066966692963,0.008979461614899709,,-0.13744205693494205,,0.1351536890109965,,3.731303023062673,
TW,E,4,0.03,proportional,A2_random,global,2007-01,2023-12,2024-01,2025-12,6,200,200,30,0.0,0.8265066966692963,-0.004475182064030477,0.0025445357742593243,-0.14026944666686444,0.0021245618627243304,0.02689671663301478,0.020673387998937916,4.342462565162788,0.08326547720745502
TW,H,1,legacy,equal,A_hrp,group_relative,2007-01,2016-12,2017-01,2019-12,6,30,30,1,1.0,0.8262775734024624,0.21000833430380328,,-0.13704844466466914,,1.8537536807356303,,3.6380615304870725,
TW,H,1,legacy,equal,A2_random,group_relative,2007-01,2016-12,2017-01,2019-12,6,30,30,30,0.0,0.8262775734024624,0.2119846640939713,0.0045305083006427285,-0.13439945282737814,0.003883530949689445,1.880410484325291,0.04479147323017773,3.6012868698665668,0.17266014421903486
TW,H,1,legacy,equal,A_hrp,global,2007-01,2016-12,2017-01,2019-12,6,30,30,1,3.0,0.8262775734024624,0.21877143432248114,,-0.12882043758599182,,1.9267937555468257,,4.1351960677812,
TW,H,1,legacy,equal,A2_random,global,2007-01,2016-12,2017-01,2019-12,6,30,30,30,0.0,0.8262775734024624,0.21130569489004022,0.0049604827777332645,-0.13486428602120876,0.004020958584693762,1.8743296593508991,0.050057292859267084,3.5948045634819863,0.1867560082572181
TW,H,1,legacy,proportional,A_hrp,group_relative,2007-01,2016-12,2017-01,2019-12,6,30,30,1,0.0,0.8262775734024624,0.2001127517481558,,-0.1427862360302865,,1.7473826517461486,,3.663619464584362,
