high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.46,0.72,3,8,3,False
0.46,0.73,3,8,3,False
0.46,0.74,3,8,3,False
0.46,0.75,3,8,3,False
0.46,0.76,3,8,3,False
0.46,0.77,3,8,3,False
0.46,0.78,3,8,3,False
0.46,0.79,3,8,3,False
0.46,0.8,3,8,3,False
0.46,0.81,3,8,3,False
0.46,0.82,3,8,3,False
0.46,0.83,3,8,3,False
0.46,0.84,3,8,3,False
0.46,0.85,3,8,3,False
0.46,0.86,3,8,3,False
0.46,0.87,3,8,3,False
0.46,0.88,3,8,3,False
0.46,0.89,3,8,3,False
0.46,0.9,3,8,3,False
0.47,0.65,3,8,3,False
0.47,0.66,3,8,3,False
0.47,0.67,3,8,3,False
0.47,0.68,3,8,3,False
0.47,0.69,3,8,3,False
0.47,0.7,3,8,3,False
0.47,0.71,3,8,3,False
0.47,0.72,3,8,3,False
0.47,0.73,3,8,3,False
0.47,0.74,3,8,3,False
0.47,0.75,3,8,3,False
0.47,0.76,3,8,3,False
0.47,0.77,3,8,3,False
0.47,0.78,3,8,3,False
0.47,0.79,3,8,3,False
0.47,0.8,3,8,3,False
0.47,0.81,3,8,3,False
0.47,0.82,3,8,3,False
0.47,0.83,3,8,3,False
0.47,0.84,3,8,3,False
0.47,0.85,3,8,3,False
0.47,0.86,3,8,3,False
0.47,0.87,3,8,3,False
0.47,0.88,3,8,3,False
0.47,0.89,3,8,3,False
0.47,0.9,3,8,3,False
0.48,0.65,3,9,3,False
0.48,0.66,3,9,3,False
0.48,0.67,3,9,3,False
0.48,0.68,3,9,3,False
0.48,0.69,3,9,3,False
0.48,0.7,3,9,3,False
0.48,0.71,3,9,3,False
0.48,0.72,3,9,3,False
0.48,0.73,3,9,3,False
0.48,0.74,3,9,3,False
0.48,0.75,3,9,3,False
0.48,0.76,3,9,3,False
0.48,0.77,3,9,3,False
0.48,0.78,3,9,3,False
0.48,0.79,3,9,3,False
0.48,0.8,3,9,3,False
0.48,0.81,3,9,3,False
0.48,0.82,3,9,3,False
0.48,0.83,3,9,3,False
0.48,0.84,3,9,3,False
0.48,0.85,3,9,3,False
0.48,0.86,3,9,3,False
0.48,0.87,3,9,3,False
0.48,0.88,3,9,3,False
0.48,0.89,3,9,3,False
0.48,0.9,3,9,3,False
0.49,0.65,3,9,3,False
0.49,0.66,3,9,3,False
0.49,0.67,3,9,3,False
0.49,0.68,3,9,3,False
0.49,0.69,3,9,3,False
0.49,0.7,3,9,3,False
0.49,0.71,3,9,3,False
0.49,0.72,3,9,3,False
0.49,0.73,3,9,3,False
0.49,0.74,3,9,3,False
0.49,0.75,3,9,3,False
0.49,0.76,3,9,3,False
0.49,0.77,3,9,3,False
0.49,0.78,3,9,3,False
0.49,0.79,3,9,3,False
0.49,0.8,3,9,3,False
0.49,0.81,3,9,3,False
0.49,0.82,3,9,3,False
0.49,0.83,3,9,3,False
0.49,0.84,3,9,3,False
0.49,0.85,3,9,3,False
0.49,0.86,3,9,3,False
0.49,0.87,3,9,3,False
0.49,0.88,3,9,3,False
0.49,0.89,3,9,3,False
0.49,0.9,3,9,3,False
0.5,0.65,3,10,3,False
0.5,0.66,3,10,3,False
0.5,0.67,3,10,3,False
0.5,0.68,3,10,3,False
0.5,0.69,3,10,3,False
0.5,0.7,3,10,3,False
0.5,0.71,3,10,3,False
0.5,0.72,3,10,3,False
0.5,0.73,3,10,3,False
0.5,0.74,3,10,3,False
0.5,0.75,3,10,3,False
0.5,0.76,3,10,3,False
0.5,0.77,3,10,3,False
0.5,0.78,3,10,3,False
0.5,0.79,3,10,3,False
0.5,0.8,3,10,3,False
0.5,0.81,3,10,3,False
0.5,0.82,3,10,3,False
0.5,0.83,3,10,3,False
0.5,0.84,3,10,3,False
0.5,0.85,3,10,3,False
0.5,0.86,3,10,3,False
0.5,0.87,3,10,3,False
0.5,0.88,3,10,3,False
0.5,0.89,3,10,3,False
0.5,0.9,3,10,3,False
0.51,0.65,3,11,3,False
0.51,0.66,3,11,3,False
0.51,0.67,3,11,3,False
0.51,0.68,3,11,3,False
0.51,0.69,3,11,3,False
0.51,0.7,3,11,3,False
0.51,0.71,3,11,3,False
0.51,0.72,3,11,3,False
0.51,0.73,3,11,3,False
0.51,0.74,3,11,3,False
0.51,0.75,3,11,3,False
0.51,0.76,3,11,3,False
0.51,0.77,3,11,3,False
0.51,0.78,3,11,3,False
0.51,0.79,3,11,3,False
0.51,0.8,3,11,3,False
0.51,0.81,3,11,3,False
0.51,0.82,3,11,3,False
0.51,0.83,3,11,3,False
0.51,0.84,3,11,3,False
0.51,0.85,3,11,3,False
0.51,0.86,3,11,3,False
0.51,0.87,3,11,3,False
0.51,0.88,3,11,3,False
0.51,0.89,3,11,3,False
0.51,0.9,3,11,3,False
0.52,0.65,3,16,3,False
0.52,0.66,3,16,3,False
0.52,0.67,3,16,3,False
0.52,0.68,3,16,3,False
0.52,0.69,3,16,3,False
0.52,0.7,3,16,3,False
0.52,0.71,3,16,3,False
0.52,0.72,3,16,3,False
0.52,0.73,3,16,3,False
0.52,0.74,3,16,3,False
0.52,0.75,3,16,3,False
0.52,0.76,3,16,3,False
0.52,0.77,3,16,3,False
0.52,0.78,3,16,3,False
0.52,0.79,3,16,3,False
0.52,0.8,3,16,3,False
0.52,0.81,3,16,3,False
0.52,0.82,3,16,3,False
0.52,0.83,3,16,3,False
0.52,0.84,3,16,3,False
0.52,0.85,3,16,3,False
0.52,0.86,3,16,3,False
0.52,0.87,3,16,3,False
0.52,0.88,3,16,3,False
0.52,0.89,3,16,3,False
0.52,0.9,3,16,3,False
0.53,0.65,3,18,3,False
0.53,0.66,3,18,3,False
0.53,0.67,3,18,3,False
