opponent,metric,scheme,mode,min_is_months,oos_len_months,n_units,n_wins,win_rate,win_share_mean,win_share_std,n_cells,diff_mean,diff_median,diff_std,pct_positive,min_wins_for_sig,detectable_win_rate,p_value,significant_05,wins_short_of_sig,direction,verdict
D_top_cagr,mdd,G,anchored,120,24,12,10,0.8333333333333334,0.8208333333333333,0.2742413778650722,240,0.024235118786559335,0.01768979448218505,0.03278201048128485,0.8208333333333333,10.0,0.8333333333333334,0.03857421875,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,G,anchored,120,24,12,1,0.08333333333333333,0.12916666666666668,0.2895594877908458,240,-0.053849365328209546,-0.0338888084607849,0.0649953775015615,0.12916666666666668,10.0,0.8333333333333334,0.00634765625,True,9.0,A敗,顯著（A敗）
E_top_calmar,calmar,G,anchored,120,24,12,1,0.08333333333333333,0.16666666666666666,0.3025147128903841,240,-0.2881045726885144,-0.26702657214617087,0.3957583515005722,0.16666666666666666,10.0,0.8333333333333334,0.00634765625,True,9.0,A敗,顯著（A敗）
E_top_calmar,mdd,G,anchored,120,24,12,7,0.5833333333333334,0.5125000000000001,0.4237950834156441,240,0.003921405112587194,0.0004041267430407447,0.02441881814954328,0.5125,10.0,0.8333333333333334,0.7744140625,False,3.0,A勝,效果不足
B_all,cagr,H,anchored,120,36,9,9,1.0,0.9611111111111111,0.04859126579037749,180,0.033737082289337375,0.02859689772932819,0.029625411558622746,0.9611111111111111,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,calmar,H,anchored,120,36,9,9,1.0,0.9777777777777779,0.03632415786283898,180,0.3068881611929471,0.24850805433609158,0.29479817131798575,0.9777777777777777,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,mdd,H,anchored,120,36,9,8,0.8888888888888888,0.8611111111111112,0.19490025939210834,180,0.014917438944601758,0.012178930967858548,0.01564210718979867,0.8611111111111112,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,H,anchored,120,36,9,1,0.1111111111111111,0.1222222222222222,0.31236108023318854,180,-0.10039545385601048,-0.04730384059237769,0.11854421901151686,0.12222222222222222,8.0,0.8888888888888888,0.0390625,True,7.0,A敗,顯著（A敗）
D_top_cagr,calmar,H,anchored,120,36,9,2,0.2222222222222222,0.2222222222222222,0.35541446853560205,180,-0.3306462836929002,-0.18033402452611824,0.5098603585602299,0.2222222222222222,8.0,0.8888888888888888,0.1796875,False,6.0,A敗,效果不足
D_top_cagr,mdd,H,anchored,120,36,9,7,0.7777777777777778,0.7999999999999999,0.3051638903933426,180,0.01877044309346317,0.016352505470801748,0.023998301587358932,0.8,8.0,0.8888888888888888,0.1796875,False,1.0,A勝,差一場就顯著
