subject,opponent,metric,tree_key,win_rate,n_cells,cohens_d,diff_mean,diff_median,n_schemes,n_sig_raw,n_sig_bh_family,n_sig_bonferroni_family,min_p
A_hrp,E_top_calmar,calmar,TW,0.16777777777777778,900,-0.7602703427891753,-0.10308969817550147,-0.09305408294567075,13,0,0,0,0.98046875
A_hrp,E_top_calmar,calmar,US,0.08,900,-0.7772811604535899,-0.45970402383604553,-0.34220979645800953,13,0,0,0,0.98046875
A_hrp,E_top_calmar,calmar,XM,0.34,900,-0.2925458420108354,-0.16682790383674476,-0.16164532653968738,13,0,0,0,0.98046875
E_top_calmar,B_all,cagr,TW,0.9444444444444444,900,1.581401396772089,0.03537826330386099,0.03615703462087291,13,13,13,8,0.000244140625
E_top_calmar,B_all,cagr,US,0.9555555555555556,900,1.2796219874205206,0.10648531308651715,0.09579217540507012,13,13,13,8,0.000244140625
E_top_calmar,B_all,cagr,XM,0.8844444444444445,900,0.9442202518385666,0.09434191618359554,0.08533255434845989,13,13,13,8,0.000244140625
E_top_calmar,B_all,mdd,TW,0.8,900,0.7931502536942437,0.005766969861387594,0.003642471989106999,13,1,0,0,0.019287109375
E_top_calmar,B_all,mdd,US,0.7377777777777778,900,0.7334027190751694,0.02652258379527789,0.016737500315535003,13,1,0,0,0.019287109375
E_top_calmar,B_all,mdd,XM,0.4622222222222222,900,-0.1947486819586148,-0.005792275320056301,-0.0026206586402011955,13,1,0,0,0.019287109375
E_top_calmar,B_all,calmar,TW,0.96,900,1.5874479135952422,0.26416630193131774,0.21257314443128372,13,12,12,8,7.2479248046875e-05
E_top_calmar,B_all,calmar,US,0.9422222222222222,900,0.8816820973127271,0.7976704411722009,0.5918769799447103,13,12,12,8,7.2479248046875e-05
E_top_calmar,B_all,calmar,XM,0.8422222222222222,900,0.748920294246777,0.5144329027152292,0.41614113248192647,13,12,12,8,7.2479248046875e-05
E_top_calmar,D_top_cagr,cagr,TW,0.3333333333333333,900,-0.38163490406769546,-0.006428359790000796,-0.004428760757942907,13,0,0,0,0.84912109375
E_top_calmar,D_top_cagr,cagr,US,0.20666666666666667,900,-0.9527574712567476,-0.052415801414885665,-0.04543964442032071,13,0,0,0,0.84912109375
E_top_calmar,D_top_cagr,cagr,XM,0.3,900,-0.49924869780282743,-0.04935623188545048,-0.02342858045954671,13,0,0,0,0.84912109375
