tree_id,level,cluster_id,market,n_members,top_F1,top_C_source,pct_v1,CAGR_median,MDD_median,n_cross_partners,n_high_complement,pct_high_complement,min_cross_corr,best_partner_cluster,universal
XM_normal,L3,121,TW,83,P_IC40%/EV_S20%,EPS36%/ROE35%,0.0,0.1737781922134305,-0.5685085847552492,163,54,0.3312883435582822,0.4019869489443212,192,False
XM_normal,L3,84,TW,29,OCF_E62%/PB24%,FCF_P83%/無14%,1.0,0.1051046649779747,-0.5922484612298164,163,54,0.3312883435582822,0.42698275823459864,192,False
XM_normal,L3,76,TW,45,OCF_E91%/PS4%,FCF_P58%/無20%,1.0,0.1063256404370658,-0.6058690582072499,163,53,0.32515337423312884,0.4282279325050977,386,False
XM_normal,L3,118,TW,189,PS30%/EV_S26%,FCF_P80%/無17%,0.0,0.1019399494834463,-0.6238156047835914,163,53,0.32515337423312884,0.41471605559537306,435,False
XM_normal,L3,117,TW,93,P_IC34%/EV_S26%,ROE43%/EPS43%,0.0,0.1317623278383508,-0.6121523436024636,163,52,0.31901840490797545,0.400443106540483,192,False
XM_normal,L3,120,TW,71,PS51%/PB48%,ROE34%/EPS34%,0.0,0.1350412360970287,-0.6282884898340462,163,50,0.3067484662576687,0.4140681611768312,192,False
XM_normal,L3,144,TW,28,P_IC50%/PB43%,EPS50%/ROE50%,1.0,0.17786453744376823,-0.5669000892540627,163,49,0.3006134969325153,0.4375264743624808,192,False
XM_normal,L3,109,TW,133,MOM98%/PB1%,FCF_P38%/ROE28%,0.0,0.1600858320553924,-0.6569717168000617,163,49,0.3006134969325153,0.42905249719525695,435,False
XM_normal,L3,114,TW,122,PB66%/P_IC34%,EPS44%/ROE44%,0.0,0.13601623354309295,-0.5803702342659636,163,49,0.3006134969325153,0.4175795002065603,192,False
XM_normal,L3,101,TW,72,MOM50%/P_IC25%,EPS33%/ROE33%,0.0,0.18133849995799606,-0.6582964090461325,163,47,0.2883435582822086,0.4303237718912116,435,False
XM_normal,L3,126,TW,57,EV_S74%/OCF_E26%,ROE42%/EPS40%,0.0,0.1394618012612563,-0.6747898343027673,163,46,0.2822085889570552,0.4209404232007924,435,False
XM_normal,L3,125,TW,128,EV_S51%/PS49%,EPS47%/ROE46%,0.0,0.1236661041871748,-0.6167011692674084,163,45,0.27607361963190186,0.41370882962952366,435,False
XM_normal,L3,164,TW,136,PB38%/P_IC25%,ROE35%/EPS35%,0.0,0.18792449579987092,-0.5289030333925491,163,44,0.26993865030674846,0.4074927515129465,192,False
XM_normal,L3,104,TW,51,MOM100%,ROE35%/EPS35%,0.0,0.1460879315501935,-0.683214425148778,163,39,0.2392638036809816,0.4379182823507083,435,False
XM_normal,L3,167,TW,34,EV_S100%,EPS35%/ROE35%,0.0,0.13804292948500324,-0.6125916525935342,163,39,0.2392638036809816,0.4259676119004028,435,False
XM_normal,L3,103,TW,53,EV_S34%/PS34%,ROE34%/EPS34%,0.0,0.2050664263376014,-0.6253821624834018,163,38,0.2331288343558282,0.40851598788619026,192,False
XM_normal,L3,173,TW,166,PS61%/EV_S39%,EPS47%/ROE47%,0.0,0.186799450298996,-0.5148207563659859,163,38,0.2331288343558282,0.4126257803616242,192,False
XM_normal,L3,128,TW,44,OCF_E100%,ROE50%/EPS50%,0.0,0.1484167859156476,-0.4314922094230327,163,37,0.22699386503067484,0.4269427021798723,435,False
XM_normal,L3,124,TW,101,PS76%/EV_S24%,ROE48%/EPS48%,0.0,0.1291367058059929,-0.5553045835747918,163,37,0.22699386503067484,0.42437192661899364,435,False
XM_normal,L3,122,TW,46,OCF_E37%/PS37%,FCF_P83%/無17%,0.0,0.11310227967953995,-0.6013643991713019,163,32,0.19631901840490798,0.41511482034406366,192,False
XM_normal,L3,112,TW,183,MOM62%/PS10%,ROE34%/EPS34%,0.0,0.1556132485787726,-0.6661411816462796,163,31,0.1901840490797546,0.4425246609894822,435,False
XM_normal,L3,166,TW,62,EV_S39%/PS39%,ROE50%/EPS50%,0.0,0.19651475904248533,-0.44211665672464295,163,30,0.18404907975460122,0.41446384783238616,192,False
XM_normal,L3,168,TW,58,OCF_E100%,ROE41%/EPS41%,0.0,0.1459404731814242,-0.5156254760472754,163,29,0.17791411042944785,0.42664980845365863,435,False
XM_normal,L3,171,TW,98,PS37%/EV_S31%,FCF_P81%/無19%,0.0,0.1416592260849224,-0.5832552186192567,163,28,0.17177914110429449,0.4217432108912706,192,False
XM_normal,L3,135,TW,127,P_IC47%/PB40%,EPS32%/ROE31%,0.0,0.1675456911210908,-0.5092486746315676,163,24,0.147239263803681,0.43909405748459385,192,False
XM_normal,L3,123,TW,99,OCF_E81%/PB6%,FCF_P49%/EPS19%,0.0,0.120245077253152,-0.6113540468705538,163,23,0.1411042944785276,0.43630989239127904,435,False
XM_normal,L3,105,TW,91,MOM100%,ROE46%/EPS46%,0.0,0.1873371802505177,-0.6214094890670724,163,20,0.12269938650306748,0.45043015167171885,435,False
XM_normal,L3,111,TW,39,MOM100%,FCF_P49%/ROE23%,0.0,0.1648812137354669,-0.6498688545679436,163,20,0.12269938650306748,0.41970609860100333,192,False
XM_normal,L3,110,TW,54,MOM100%,EPS39%/ROE33%,0.0,0.17062924099522744,-0.6389621726765462,163,17,0.10429447852760736,0.43233349011797356,192,False
XM_normal,L3,127,TW,104,OCF_E78%/PB12%,EPS49%/ROE47%,0.0,0.15153822641118414,-0.5067810644147481,163,12,0.0736196319018405,0.44377297520891335,435,False
XM_normal,L3,205,US,29,EV_EBITDA52%/REVENUE48%,EPS76%/FCF_P17%,0.0,0.2793772946888961,-0.5776740406632748,112,112,1.0,0.16254687016161215,1,True
XM_normal,L3,446,US,22,PS32%/EV_S32%,FCF_P100%,0.0,0.25590902131402793,-0.6371752002913118,112,112,1.0,0.19253440111203732,1,True
XM_normal,L3,390,US,21,REVENUE100%,ROE33%/EPS33%,0.0,0.2425812098120283,-0.4855996025786622,112,112,1.0,0.18240459374259607,1,True
XM_normal,L3,386,US,29,REVENUE100%,FCF_P48%/ROE24%,0.0,0.2365979964730158,-0.4562167893076592,112,112,1.0,0.1653318126243484,1,True
XM_normal,L3,435,US,24,PS38%/P_IC38%,EPS100%,1.0,0.22626354245024105,-0.6496661690071969,112,112,1.0,0.16518667673561016,1,True
XM_normal,L3,220,US,36,REVENUE67%/EV_EBITDA17%,FCF_P78%/無22%,0.0,0.22229639716668426,-0.5591598387231724,112,112,1.0,0.183421395458061,1,True
XM_normal,L3,387,US,21,REVENUE100%,EPS33%/ROE33%,0.0,0.2145996324031729,-0.4384363568023717,112,112,1.0,0.1767359244319792,1,True
XM_normal,L3,321,US,32,PS50%/EV_S50%,ROE50%/EPS50%,1.0,0.20871804050228981,-0.5877092191588011,112,112,1.0,0.17571186177524428,1,True
XM_normal,L3,441,US,23,P_IC35%/EV_S22%,ROE57%/EPS43%,1.0,0.1867004140986456,-0.6676549760592391,112,112,1.0,0.17785926080331524,1,True
XM_normal,L3,279,US,20,EPS85%/EV_EBITDA15%,EPS40%/ROE35%,1.0,0.1493559037008024,-0.528228331471401,112,112,1.0,0.19886783813719255,1,True
XM_normal,L3,209,US,24,REVENUE42%/EPS33%,ROE100%,0.0,0.26929608547906025,-0.5610570368618815,112,111,0.9910714285714286,0.1860291603924222,1,False
XM_normal,L3,221,US,34,REVENUE68%/EPS21%,FCF_P94%/無6%,0.0,0.24518961748367346,-0.5257337049607229,112,111,0.9910714285714286,0.17670726323392882,1,False
XM_normal,L3,219,US,28,REVENUE57%/VOL21%,FCF_P100%,0.0,0.2184216494799631,-0.5716008848337439,112,111,0.9910714285714286,0.19824841731682633,1,False
XM_normal,L3,225,US,20,REVENUE35%/VOL25%,FCF_P100%,1.0,0.21443281762630195,-0.6522632127282707,112,111,0.9910714285714286,0.1872385177896432,1,False
XM_normal,L3,242,US,25,REVENUE40%/EV_EBITDA32%,ROE56%/EPS44%,1.0,0.2214554312450067,-0.5555143679740013,112,110,0.9821428571428571,0.18123366421013953,1,False
XM_normal,L3,306,US,35,P_IC40%/PB34%,EPS60%/ROE37%,1.0,0.2099833847248944,-0.7611490867554601,112,109,0.9732142857142857,0.13583038448139725,1,False
XM_normal,L3,224,US,33,REVENUE39%/EV_EBITDA24%,EPS48%/ROE39%,1.0,0.1398514032761006,-0.6163658484344752,112,108,0.9642857142857143,0.17784524213303338,1,False
XM_normal,L3,244,US,20,REVENUE40%/VOL30%,EPS100%,1.0,0.17470043421419418,-0.6157752341210547,112,107,0.9553571428571429,0.17369788402904945,1,False
XM_normal,L3,433,US,22,PS27%/P_IC27%,ROE50%/EPS50%,1.0,0.25047523543496425,-0.7044824274670936,112,106,0.9464285714285714,0.1758693155226225,1,False
XM_normal,L3,243,US,57,REVENUE37%/VOL32%,EPS100%,1.0,0.2006171148215665,-0.6298907110150895,112,106,0.9464285714285714,0.1782028743363834,1,False
XM_normal,L3,240,US,37,REVENUE38%/VOL32%,ROE100%,1.0,0.195134800443582,-0.6128634272858262,112,106,0.9464285714285714,0.17523596465715036,1,False
XM_normal,L3,227,US,27,REVENUE37%/VOL33%,FCF_P100%,1.0,0.1778299072895659,-0.6388234170289222,112,106,0.9464285714285714,0.19054947993823523,1,False
XM_normal,L3,452,US,40,EV_S50%/PS50%,EPS100%,0.0,0.2801881486002108,-0.6160715975840534,112,105,0.9375,0.19668371155255343,1,False
XM_normal,L3,448,US,48,EV_S50%/PS50%,EPS50%/ROE50%,0.0,0.35402831073050767,-0.6809928851466656,112,103,0.9196428571428571,0.18202454652123568,1,False
XM_normal,L3,278,US,59,EPS100%,EPS37%/ROE32%,1.0,0.1606814446566502,-0.4940332066442819,112,103,0.9196428571428571,0.18764658787919866,1,False
XM_normal,L3,283,US,41,EV_S51%/PS49%,FCF_P39%/EPS29%,1.0,0.1553908679920908,-0.471108279144968,112,103,0.9196428571428571,0.20016258073779694,1,False
