tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_members,n_backfilled,n_capped_clusters,r2_median,max_cluster_share,enb_computed,oos_cagr,oos_mdd,oos_sharpe,oos_enb
TW,R,fixed,legacy,equal,3,2013-01,2020-12,2021-01,2023-12,36,6,30,30,0,0,0.8484368823892638,0.29281437125748505,True,0.30383881739909846,-0.13582884971631815,1.4742069958083042,2.4392085174310183
TW,R,fixed,legacy,proportional,3,2013-01,2020-12,2021-01,2023-12,36,6,30,30,0,0,0.8484368823892638,0.29281437125748505,True,0.2899820886198081,-0.13585292893651024,1.4641001968212122,2.623953426069523
TW,R,fixed,0.01,equal,3,2013-01,2020-12,2021-01,2023-12,36,6,67,67,0,0,0.8484368823892638,0.29281437125748505,True,0.2951865507919893,-0.13934027077204159,1.437093908996893,2.6187054069216584
TW,R,fixed,0.01,proportional,3,2013-01,2020-12,2021-01,2023-12,36,6,67,67,0,0,0.8484368823892638,0.29281437125748505,True,0.2932757987518244,-0.13825413059045188,1.4394927278899667,2.882722425670848
TW,R,fixed,0.03,equal,3,2013-01,2020-12,2021-01,2023-12,36,6,200,200,0,0,0.8484368823892638,0.29281437125748505,True,0.2731860700163833,-0.14079627348773127,1.3507796299625976,2.8447267498672764
TW,R,fixed,0.03,proportional,3,2013-01,2020-12,2021-01,2023-12,36,6,200,200,0,0,0.8484368823892638,0.29281437125748505,True,0.26560344651159773,-0.14039949967828724,1.3370695986992804,3.0986317799228473
TW,R,fixed,0.05,equal,3,2013-01,2020-12,2021-01,2023-12,36,6,334,334,16,0,0.8484368823892638,0.29281437125748505,True,0.2527037453030554,-0.13962470212536038,1.2810203684342152,2.9597453235274607
TW,R,fixed,0.05,proportional,3,2013-01,2020-12,2021-01,2023-12,36,6,334,334,32,0,0.8484368823892638,0.29281437125748505,True,0.24696250304702727,-0.13853193206515402,1.2780622679358442,3.105339193516796
TW,R,fixed,0.1,equal,3,2013-01,2020-12,2021-01,2023-12,36,6,668,668,299,0,0.8484368823892638,0.29281437125748505,False,0.25444508242405073,-0.13812997650880954,1.296717902993181,
TW,R,fixed,0.1,proportional,3,2013-01,2020-12,2021-01,2023-12,36,6,668,668,298,0,0.8484368823892638,0.29281437125748505,False,0.2535136066848114,-0.13696682345043654,1.304804988494003,
